timestep,RightFingerJoint11z_joint,RightFingerJoint12y_joint,RightFingerJoint13y_joint,RightFingerJoint11y_joint,RightFingerJoint21y_joint,RightFingerJoint22y_joint,RightFingerJoint23y_joint,RightFingerJoint21x_joint,RightFingerJoint31y_joint,RightFingerJoint32y_joint,RightFingerJoint33y_joint,RightFingerJoint41y_joint,RightFingerJoint42y_joint,RightFingerJoint43y_joint,RightFingerJoint41x_joint,RightFingerJoint51y_joint,RightFingerJoint52y_joint,RightFingerJoint53y_joint,RightFingerJoint51x_joint,LeftFingerJoint11z_joint,LeftFingerJoint12y_joint,LeftFingerJoint13y_joint,LeftFingerJoint11y_joint,LeftFingerJoint21y_joint,LeftFingerJoint22y_joint,LeftFingerJoint23y_joint,LeftFingerJoint21x_joint,LeftFingerJoint31y_joint,LeftFingerJoint32y_joint,LeftFingerJoint33y_joint,LeftFingerJoint41y_joint,LeftFingerJoint42y_joint,LeftFingerJoint43y_joint,LeftFingerJoint41x_joint,LeftFingerJoint51y_joint,LeftFingerJoint52y_joint,LeftFingerJoint53y_joint,LeftFingerJoint51x_joint,BLNx_joint,BLNy_joint,BLNz_joint,BPx_joint,BPy_joint,BPz_joint,BTx_joint,BTy_joint,BTz_joint,BUNx_joint,BUNy_joint,BUNz_joint,LAx_joint,LAy_joint,LAz_joint,LEx_joint,LEz_joint,LHx_joint,LHy_joint,LHz_joint,LKx_joint,LSx_joint,LSy_joint,LSz_joint,LWx_joint,LWy_joint,LFx_joint,LMrot_joint,RAx_joint,RAy_joint,RAz_joint,REx_joint,REz_joint,RHx_joint,RHy_joint,RHz_joint,RKx_joint,RSx_joint,RSy_joint,RSz_joint,RWx_joint,RWy_joint,RFx_joint,RMrot_joint,RootPositionX,RootPositionY,RootPositionZ,RootRotationX,RootRotationY,RootRotationZ,Height,Mass,HandLength
0.45,-0.355101,-0.297472,-0.0892415,0.11594,0.094344,0.00577219,0.00173166,0.0664845,0.165806,0.0734649,0.0220395,0.0559865,0.113295,0.0670753,-0.0880583,-0.206337,-0.00417122,-0.00125137,-0.0606573,-0.27255,2.05659,-0.047242,-10.5854,-0.0377578,0.020504,0.00615119,-0.0357929,-0.0902119,0.251513,0.0754538,-0.192843,0.12097,0.0,0.0629687,-0.427955,0.151327,0.0453982,0.13969,-0.169102,0.0664626,0.00224643,0.0923408,-0.01831,-0.0976464,0.00894374,-0.0217409,0.0523236,0.221896,-0.0136386,-0.001186,0.118704,-0.201692,0.0251929,0.220071,-0.470191,0.13548,0.0493278,0.278978,-0.16739,0.209491,0.177727,-0.656138,-0.00198149,1.01475,-0.042144,0.137348,0.21969,0.0609452,0.109771,0.32981,0.546488,0.13535,-0.0536335,-0.372944,-0.165185,0.159742,-0.184059,0.312187,-0.218092,-1.10366,-0.1129,0.0380958,138.837,341.884,945.163,-0.10564,0.0363853,1.64922,1.79,78.0,18.9
0.46,-0.351498,-0.30558,-0.0916739,0.113377,0.0929359,0.0150077,0.00450231,0.0634024,0.108412,0.0748253,0.0224476,0.0495265,0.111289,0.071182,-0.0899588,-0.203657,-0.00208561,-0.000625684,-0.0569377,-0.274013,2.20574,-0.047242,-11.102,-0.0344745,0.0141951,0.00425852,-0.032384,-0.0879845,0.240299,0.0720896,-0.199358,0.123783,0.0,0.0684442,-0.421568,0.153196,0.0459587,0.140355,-0.172728,0.0673411,0.00218783,0.0915755,-0.0181728,-0.0964906,0.00467788,-0.0220522,0.0542522,0.226524,-0.0149446,-0.00456118,0.119101,-0.200743,0.0174903,0.223467,-0.459048,0.130127,0.0504739,0.287267,-0.166419,0.208795,0.178644,-0.666419,-0.00874123,1.01161,-0.0392599,0.135291,0.221824,0.0588127,0.131714,0.330659,0.548624,0.133077,-0.0558982,-0.391695,-0.169158,0.1577,-0.18556,0.311763,-0.225665,-1.10363,-0.114537,0.037833,138.221,341.817,945.121,-0.100945,0.0358253,1.64907,1.79,78.0,18.9
0.47000000000000003,-0.353755,-0.338731,-0.101619,0.12619,0.0929359,0.0103899,0.00311698,0.0647233,0.165806,0.0775463,0.0232639,0.0516798,0.113295,0.0670753,-0.0874248,-0.200977,0.0,0.0,-0.0589406,-0.27259,2.21609,-0.047242,-11.2312,-0.0344745,0.0126178,0.00378535,-0.0340884,-0.100235,0.249911,0.0749732,-0.198055,0.12519,0.0,0.0657065,-0.430085,0.155064,0.0465191,0.141685,-0.175638,0.0681954,0.00218715,0.0921541,-0.0177696,-0.0967041,0.000515261,-0.021781,0.0555845,0.22585,-0.0156001,-0.00729687,0.120333,-0.20682,0.0146381,0.225033,-0.458806,0.127647,0.0509993,0.291232,-0.164615,0.208999,0.179556,-0.668192,-0.00113584,1.00807,-0.0487394,0.135213,0.221754,0.0619237,0.142387,0.332762,0.547765,0.132533,-0.0571045,-0.402839,-0.170186,0.15707,-0.187207,0.31358,-0.228858,-1.10697,-0.11227,0.0394316,138.219,341.672,945.12,-0.0991554,0.0354201,1.64879,1.79,78.0,18.9
0.48,-0.357458,-0.326604,-0.0979813,0.121065,0.0985684,0.00461775,0.00138533,0.0629621,0.165806,0.0761858,0.0228557,0.0581398,0.111289,0.0670753,-0.0893253,-0.206337,-0.00417122,-0.00125137,-0.0597989,-0.269243,2.21403,-0.0485542,-11.102,-0.0344745,0.0110406,0.00331218,-0.0357929,-0.108032,0.238697,0.071609,-0.196752,0.122377,0.0,0.0698131,-0.419439,0.153196,0.0459587,0.14102,-0.17866,0.0680104,0.00230344,0.0896677,-0.0175595,-0.0965801,-0.00206643,-0.0219431,0.0566092,0.236509,-0.0155112,-0.00676805,0.123334,-0.20553,0.0051482,0.227229,-0.448258,0.126112,0.0529644,0.299131,-0.170129,0.207753,0.180744,-0.674393,0.000392526,1.00957,-0.0504604,0.139345,0.222697,0.0618626,0.153736,0.335383,0.548191,0.129749,-0.0581632,-0.412991,-0.173463,0.155775,-0.187988,0.312434,-0.233108,-1.10688,-0.110733,0.0360924,137.709,341.635,945.055,-0.0948812,0.0348744,1.64863,1.79,78.0,18.9
0.5,-0.359748,-0.339521,-0.101856,0.131315,0.0957522,0.00808107,0.00242432,0.0634024,0.0765259,0.070744,0.0212232,0.0495265,0.112292,0.0670753,-0.0861577,-0.200977,-0.00208561,-0.000625684,-0.0592267,-0.270332,2.13326,-0.047242,-10.7146,-0.0328329,0.020504,0.00615119,-0.0383495,-0.0902119,0.237095,0.0711284,-0.195449,0.122377,0.0,0.0684442,-0.415181,0.155064,0.0465191,0.137029,-0.187142,0.0687552,-4.44041e-05,0.0918612,-0.0175951,-0.095564,-0.00996144,-0.0221557,0.0591495,0.243291,-0.0143589,-0.00744822,0.123442,-0.203627,-0.00314528,0.22895,-0.436131,0.124439,0.0552902,0.30771,-0.17283,0.208762,0.18244,-0.68635,-0.000771465,1.00714,-0.0442179,0.138843,0.222395,0.0653131,0.171986,0.340004,0.539969,0.130113,-0.0602148,-0.43075,-0.178926,0.154366,-0.189604,0.313442,-0.231746,-1.10503,-0.104669,0.0321986,137.546,341.702,945.011,-0.0911666,0.0339206,1.64815,1.79,78.0,18.9
0.51,-0.36483,-0.322586,-0.0967757,0.113377,0.0929359,0.0161621,0.00484864,0.0625218,0.153052,0.0748253,0.0224476,0.0602931,0.114297,0.0684442,-0.0874248,-0.209016,-0.00625684,-0.00187705,-0.0597989,-0.271461,2.16224,-0.0485542,-10.9729,-0.0377578,0.0110406,0.00331218,-0.0340884,-0.0957805,0.249911,0.0749732,-0.196752,0.12519,0.0,0.071182,-0.427955,0.151327,0.0453982,0.13969,-0.184403,0.0705836,-3.99527e-05,0.0905166,-0.0174991,-0.0952894,-0.0103461,-0.0219442,0.059968,0.239284,-0.0166009,-0.00766724,0.123682,-0.203581,-0.00805031,0.226579,-0.435946,0.124193,0.0561229,0.31314,-0.172785,0.208953,0.183168,-0.693814,-0.00787256,1.01195,-0.0419522,0.138734,0.225515,0.0685581,0.17853,0.340574,0.53736,0.131676,-0.0617008,-0.437053,-0.182818,0.153433,-0.190219,0.314407,-0.232467,-1.10807,-0.109445,0.0288871,137.556,341.69,944.998,-0.0905588,0.0337099,1.64817,1.79,78.0,18.9
0.52,-0.358603,-0.355737,-0.106721,0.12619,0.0915278,0.0092355,0.00277065,0.0634024,0.0829031,0.0721044,0.0216313,0.0624465,0.114297,0.0725509,-0.0893253,-0.195618,0.00208561,0.000625684,-0.0572239,-0.270415,2.10941,-0.0498665,-10.7791,-0.0328329,0.020504,0.00615119,-0.0357929,-0.0991217,0.251513,0.0754538,-0.195449,0.122377,0.0,0.071182,-0.419439,0.151327,0.0453982,0.139024,-0.182872,0.0715582,-0.00212647,0.0905037,-0.0174941,-0.0947629,-0.0127542,-0.0219752,0.0604086,0.236717,-0.0167382,-0.00732684,0.125875,-0.202808,-0.013761,0.228615,-0.429116,0.122991,0.0572809,0.319541,-0.173946,0.209141,0.183182,-0.695143,0.00124503,1.00957,-0.0464214,0.134287,0.225382,0.0662684,0.189774,0.341596,0.536228,0.13113,-0.0630881,-0.451012,-0.183691,0.153109,-0.190941,0.316225,-0.240786,-1.10658,-0.112712,0.0356114,137.383,341.641,945.002,-0.0885751,0.0333548,1.64797,1.79,78.0,18.9
0.53,-0.359815,-0.350068,-0.105021,0.12619,0.0915278,0.0161621,0.00484864,0.0651636,0.0829031,0.0748253,0.0224476,0.0516798,0.113295,0.0670753,-0.0886918,-0.200977,0.0,0.0,-0.0603712,-0.268909,2.13531,-0.047242,-10.8437,-0.0361162,0.0220812,0.00662436,-0.032384,-0.106918,0.237095,0.0711284,-0.199358,0.122377,0.0,0.0670753,-0.419439,0.151327,0.0453982,0.139024,-0.181302,0.0715583,-0.00212647,0.0890607,-0.0174969,-0.0945177,-0.013614,-0.0218375,0.0608902,0.23552,-0.0170576,-0.00919799,0.126171,-0.203212,-0.0169759,0.226737,-0.429448,0.122598,0.0578941,0.324383,-0.174606,0.209307,0.184165,-0.700281,-0.00447238,1.01222,-0.0474918,0.134953,0.226689,0.0652175,0.196798,0.342582,0.534657,0.131055,-0.0638675,-0.45655,-0.184101,0.15242,-0.191818,0.317205,-0.240785,-1.10806,-0.107849,0.0385355,137.449,341.641,945.002,-0.0875196,0.0331927,1.6477,1.79,78.0,18.9
0.55,-0.362273,-0.318496,-0.0955489,0.123627,0.0929359,0.0103899,0.00311698,0.0664845,0.102035,0.0721044,0.0216313,0.0516798,0.114297,0.0698131,-0.0867913,-0.200977,-0.00208561,-0.000625684,-0.0609434,-0.26941,2.21609,-0.047242,-11.2312,-0.0344745,0.0189267,0.00567802,-0.0357929,-0.102463,0.240299,0.0720896,-0.199358,0.123783,0.0,0.0670753,-0.419439,0.153196,0.0459587,0.140355,-0.180446,0.0729371,0.000630484,0.0880988,-0.0160915,-0.0938161,-0.0175404,-0.0230416,0.062414,0.233284,-0.0206876,-0.0134169,0.127933,-0.194464,-0.0285163,0.226981,-0.424816,0.121909,0.0603206,0.334045,-0.176627,0.210635,0.18483,-0.704795,0.00229944,1.01248,-0.0471615,0.135816,0.227599,0.0636592,0.212923,0.346076,0.530513,0.130821,-0.0654764,-0.473217,-0.188435,0.151158,-0.192514,0.317056,-0.240421,-1.10819,-0.106655,0.043165,137.29,341.75,944.959,-0.0847661,0.0321546,1.64772,1.79,78.0,18.9
0.56,-0.356146,-0.370303,-0.111091,0.128753,0.0999765,0.0115444,0.00346331,0.0656039,0.146675,0.0775463,0.0232639,0.0452199,0.114297,0.0698131,-0.0893253,-0.198297,-0.00208561,-0.000625684,-0.0592267,-0.270833,2.18087,-0.0459297,-11.102,-0.0361162,0.0110406,0.00331218,-0.0349406,-0.0879845,0.249911,0.0749732,-0.195449,0.122377,0.0,0.0684442,-0.415181,0.153196,0.0459587,0.140355,-0.182966,0.0727595,0.00384088,0.0875424,-0.0161017,-0.0936688,-0.0186307,-0.0228725,0.06297,0.232154,-0.0208593,-0.0157006,0.128614,-0.198257,-0.0296407,0.226079,-0.424042,0.120837,0.0610937,0.336514,-0.177116,0.210804,0.18501,-0.707964,0.00233761,1.01278,-0.0477815,0.134472,0.226748,0.0652654,0.220655,0.346494,0.530283,0.130486,-0.0662633,-0.481071,-0.18976,0.150755,-0.192884,0.316634,-0.239163,-1.10783,-0.103789,0.0416553,137.121,341.751,944.926,-0.0834316,0.0317849,1.64762,1.79,78.0,18.9
